feature,correlation
daily_return,0.9999999999999999
price_to_sma_5,0.7026520568003869
close_to_high,0.507325340648614
momentum_3,0.4705554395763756
price_to_sma_21,0.3662964183397357
price_above_sma_5,0.362131943464797
stoch_k,0.3184297152873785
momentum_10,0.29239889859371937
channel_position,0.27557503382710324
price_to_resistance,0.2753399604625954
price_to_sma_55,0.23711993622913324
trend_strength,0.21549677336241257
rsi_14,0.20132920196588727
price_above_sma_21,0.19735290425853994
macd_cross_down,0.18492983546404718
momentum_30,0.1754783313528356
rsi_oversold,0.15065069891840757
price_to_support,0.1462937887798463
macd_cross_up,0.14033933173409904
di_minus_14,0.12585682275073587
rsi_overbought,0.11772623586379789
di_plus_14,0.11528382273074461
price_above_sma_55,0.11433532606984936
stoch_d,0.10074675254476553
price_to_sma_200,0.07919558597048405
macd_hist,0.06891597989693783
weekly_change,0.06052060561383293
price_above_sma_200,0.05285746269122919
macd_cross_strength,0.05256027363610274
parkinson_vol,0.05212040538454897
volatility_14,0.0474398068030165
dist_to_fib_resistance,0.030125484532461163
bb_width,0.02687527851945739
macd,0.019904863300956442
high_low_spread,0.018543421991965965
volume_sma_20,0.014794416600768953
volume_sma,0.014794416600768953
vol_regime,0.014403924864432184
atr_14,0.013797942684813685
dist_to_fib_support,0.013087490700121253
bb_std,0.012735255958945264
bb_upper,0.0112152731502832
ema_55,0.011206386693710881
ema_200,0.011188719871952484
bb_middle,0.011184984878008095
sma_21,0.01118210953127017
ema_21,0.011165391125960562
bb_lower,0.01115385865418526
sma_55,0.011118752993030967
sma_5,0.011109282374028296
support_20,0.011108665898888
resistance_20,0.011077432439303895
ema_5,0.01091374493246037
sma_200,0.010856573899854062
fib_resistance,0.010265175780671728
fib_support,0.009962556333684805
adx_14,0.00807041384639943
momentum_regime,0.005996516129421341
wave_trend,0.0050489559630161945
trend_regime,0.004083297323548121
bb_squeeze,0.002591837128630325
macd_signal,0.0018494501965624231
volume_ratio,0.0010613060202097895
