symbol,type,entry_time,entry_price,exit_time,exit_price,units,pnl,pnl_pct,holding_hours,exit_reason,signal_quality
USDJPY,long,2024-07-01 00:00:00,160.909,2024-07-01 12:00:00,161.114,163.13568538739287,33.44281550441758,0.0012740120192159079,12.0,signal_reversal,0.8
USDCHF,short,2024-07-01 08:00:00,0.9002,2024-07-01 16:00:00,0.9036,29160.1866251944,-99.14463452565975,-0.0037769384581203716,8.0,stop_loss,0.7666666666666666
USDJPY,short,2024-07-01 12:00:00,161.114,2024-07-01 16:00:00,161.563,162.98260076138578,-73.17918774185958,-0.0027868465806819014,4.0,stop_loss,0.7666666666666666
USDCHF,short,2024-07-01 16:00:00,0.9036,2024-07-02 08:00:00,0.90356,29010.11922944299,1.1604047691756594,4.4267374944587187e-05,16.0,time_stop_12h,0.8000000000000002
GBPUSD,short,2024-07-01 16:00:00,1.26457,2024-07-02 12:00:00,1.26557,27638.953674081236,-27.63895367408433,-0.0007907826375764979,20.0,time_stop_12h,0.9000000000000001
GBPUSD,short,2024-07-02 12:00:00,1.26557,2024-07-02 20:00:00,1.2686,27609.79175827192,-83.65766902756022,-0.002394178117369933,8.0,stop_loss,0.9333333333333333
USDCHF,short,2024-07-02 08:00:00,0.90356,2024-07-03 00:00:00,0.90366,29011.740606021285,-2.901174060601809,-0.00011067333657973902,16.0,time_stop_12h,0.7666666666666666
USDJPY,short,2024-07-02 12:00:00,161.601,2024-07-03 04:00:00,161.621,162.16850834238122,-3.243370166849284,-0.00012376161038613767,16.0,time_stop_12h,0.7666666666666666
USDCHF,short,2024-07-03 08:00:00,0.90391,2024-07-03 12:00:00,0.90325,28966.401561723742,19.117825030737492,0.000730161188613904,4.0,signal_reversal,0.7666666666666666
USDJPY,short,2024-07-03 12:00:00,161.919,2024-07-03 16:00:00,161.453,161.73542613731726,75.36870857999116,0.002877982200977082,4.0,quick_profit_20pips,0.7666666666666666
USDCHF,long,2024-07-03 12:00:00,0.90325,2024-07-03 16:00:00,0.90067,28993.12312729397,-74.80225766841922,-0.002856352061998369,4.0,stop_loss,0.7666666666666666
USDCHF,long,2024-07-03 16:00:00,0.90067,2024-07-04 12:00:00,0.8996,38768.453348570234,-41.48224508297075,-0.0011880044855496635,20.0,time_stop_12h,0.9000000000000001
USDJPY,short,2024-07-04 08:00:00,161.28,2024-07-05 00:00:00,161.374,162.37715251793506,-15.263452336684935,-0.0005828373015872649,16.0,time_stop_12h,0.7999999999999998
USDCHF,long,2024-07-04 12:00:00,0.8996,2024-07-05 04:00:00,0.8983,29098.819551754434,-37.82846541727983,-0.0014450867052022765,16.0,time_stop_12h,0.8333333333333334
USDJPY,short,2024-07-05 00:00:00,161.374,2024-07-05 04:00:00,160.627,162.19026244946463,121.15612604974775,0.004628998475590775,4.0,quick_profit_20pips,0.8
USDCHF,long,2024-07-05 08:00:00,0.89815,2024-07-05 20:00:00,0.8956,29165.690500958557,-74.37251077744584,-0.0028391694037744834,12.0,stop_loss,0.7666666666666666
USDJPY,short,2024-07-05 12:00:00,160.816,2024-07-08 00:00:00,160.637,162.88904663364298,29.157139347422426,0.0011130733260372228,60.0,max_time,0.7666666666666666
USDCHF,long,2024-07-08 08:00:00,0.8945,2024-07-08 16:00:00,0.89702,29271.431960240974,73.76400853980952,0.0028172163219676665,8.0,quick_profit_20pips,0.7666666666666666
USDJPY,short,2024-07-08 12:00:00,161.005,2024-07-09 00:00:00,160.817,216.83215542735155,40.764445220339525,0.0011676656004471176,12.0,signal_reversal,0.8666666666666666
USDJPY,long,2024-07-09 00:00:00,160.817,2024-07-09 08:00:00,160.906,163.00117280851893,14.507104379957962,0.0005534240783001712,8.0,signal_reversal,0.8
USDCHF,short,2024-07-09 04:00:00,0.89835,2024-07-09 16:00:00,0.8977,29179.4507792593,18.966643006516456,0.0007235487282238865,12.0,signal_reversal,0.8
USDJPY,short,2024-07-09 08:00:00,160.906,2024-07-09 16:00:00,161.389,162.93468063619338,-78.69745074728206,-0.003001752576038209,8.0,stop_loss,0.7999999999999998
GBPUSD,short,2024-07-09 16:00:00,1.2785,2024-07-10 08:00:00,1.27924,27325.238832397736,-20.22067673597331,-0.0005788032850996972,16.0,time_stop_12h,0.9000000000000001
USDCHF,long,2024-07-09 16:00:00,0.8977,2024-07-10 08:00:00,0.89705,29187.35477934207,-18.971780606573496,-0.0007240726300546278,16.0,time_stop_12h,0.8333333333333334
EURUSD,long,2024-07-09 16:00:00,1.0811,2024-07-10 08:00:00,1.08159,24235.952627338247,11.8756167873982,0.0004532420682638993,16.0,time_stop_12h,0.7666666666666666
GBPUSD,short,2024-07-10 08:00:00,1.27924,2024-07-10 16:00:00,1.28412,27301.95815720756,-133.23355580717276,-0.003814765016728679,8.0,stop_loss,0.8666666666666666
USDCHF,long,2024-07-10 08:00:00,0.89705,2024-07-10 16:00:00,0.89911,29200.510244434146,60.1530511035329,0.0022964160303215546,8.0,quick_profit_20pips,0.7666666666666666
USDJPY,short,2024-07-10 12:00:00,161.47,2024-07-11 04:00:00,161.63,162.2240522373794,-25.95584835798015,-0.0009908961416981272,16.0,time_stop_12h,0.7666666666666666
GBPUSD,short,2024-07-10 16:00:00,1.28412,2024-07-11 08:00:00,1.28689,27178.284565601287,-75.28384824671994,-0.0021571192723422745,16.0,time_stop_12h,0.9000000000000001
USDCHF,long,2024-07-11 08:00:00,0.8986,2024-07-11 16:00:00,0.89389,29099.21952139574,-137.0573239457737,-0.005241486757177823,8.0,stop_loss,0.7666666666666666
USDJPY,short,2024-07-11 12:00:00,161.522,2024-07-11 16:00:00,158.574,161.88852702372563,477.2473776659398,0.01825138371243533,4.0,quick_profit_20pips,0.7666666666666666
USDCHF,long,2024-07-11 16:00:00,0.89389,2024-07-11 20:00:00,0.89653,29352.44666684688,77.49045920047831,0.002953383525937293,4.0,quick_profit_20pips,0.8000000000000002
USDCHF,long,2024-07-11 20:00:00,0.89653,2024-07-12 12:00:00,0.89546,29288.70176856087,-31.33891089236058,-0.001193490457653414,16.0,time_stop_12h,0.8
USDJPY,short,2024-07-12 12:00:00,158.987,2024-07-12 16:00:00,157.924,165.10767127160483,175.509454561714,0.006686081251926184,4.0,quick_profit_20pips,0.7666666666666666
USDCHF,long,2024-07-12 12:00:00,0.89546,2024-07-15 00:00:00,0.89691,39086.016620818555,56.674724100185,0.0016192794764701398,60.0,max_time,0.9333333333333333
USDCHF,long,2024-07-15 00:00:00,0.89691,2024-07-15 12:00:00,0.8944,29335.074510661478,-73.63103702176066,-0.002798497062135568,12.0,stop_loss,0.8
GBPUSD,long,2024-07-15 12:00:00,1.2974,2024-07-15 20:00:00,1.29678,20264.832381793723,-12.564196076713424,-0.0004778788345923115,8.0,momentum_exit,0.7666666666666666
USDJPY,short,2024-07-15 12:00:00,158.088,2024-07-15 20:00:00,157.91,166.30986243193144,29.60315551288334,0.0011259551642123203,8.0,momentum_exit,0.7666666666666666
