symbol,type,entry_time,entry_price,exit_time,exit_price,units,pnl,pnl_pct,holding_hours,exit_reason,signal_quality
USDJPY,long,2024-07-01 00:00:00,160.909,2024-07-01 16:00:00,161.563,100000.0,65399.999999999636,0.004064409075937308,16.0,scalp_20_pips,0.7
USDCHF,short,2024-07-01 04:00:00,0.89959,2024-07-01 16:00:00,0.9036,200000.0,-801.9999999999916,-0.004457586233728652,12.0,stop_loss,0.7
GBPUSD,short,2024-07-01 16:00:00,1.26457,2024-07-02 12:00:00,1.26557,329195.9999999993,-329.1960000000361,-0.0007907826375764979,20.0,stop_loss,0.7
GBPUSD,short,2024-07-02 12:00:00,1.26557,2024-07-02 20:00:00,1.2686,328537.60799999925,-995.4689522399538,-0.002394178117369933,8.0,stop_loss,0.7
USDCHF,short,2024-07-01 20:00:00,0.903045404208195,2024-07-03 00:00:00,0.90366,329195.9999999993,-202.32247627904033,-0.0006805812741430135,28.0,max_time_24h,0.7
USDJPY,short,2024-07-02 00:00:00,161.542,2024-07-03 04:00:00,161.621,329195.9999999993,-26006.48400000249,-0.0004890369068106606,28.0,max_time_24h,0.7
USDCHF,short,2024-07-03 00:00:00,0.90366,2024-07-03 16:00:00,0.90067,163071.01257148062,487.5823275887349,0.003308766571498183,16.0,scalp_20_pips,0.7
GBPUSD,short,2024-07-03 12:00:00,1.27052,2024-07-03 16:00:00,1.2764,274129.05714295624,-1611.8788560005512,-0.004628026319931906,4.0,stop_loss,0.7
USDJPY,short,2024-07-03 04:00:00,161.621,2024-07-04 08:00:00,161.28,137064.52857147812,46739.00424287516,0.0021098743356371273,28.0,scalp_20_pips,0.7
USDCHF,long,2024-07-03 16:00:00,0.90067,2024-07-04 20:00:00,0.8997,271880.4640861326,-263.7240501635256,-0.0010769760289561275,28.0,max_time_24h,0.7
USDJPY,short,2024-07-04 08:00:00,161.28,2024-07-05 00:00:00,161.374,365358.4725718829,-34343.69642175483,-0.0005828373015872649,16.0,stop_loss,0.7
USDJPY,short,2024-07-05 00:00:00,161.374,2024-07-05 04:00:00,160.627,148071.81581402308,110609.64641307312,0.004628998475590775,4.0,scalp_20_pips,0.7
GBPUSD,short,2024-07-04 16:00:00,1.2759,2024-07-05 12:00:00,1.27859,365358.4725718829,-982.8142912183135,-0.00210831569872236,20.0,stop_loss,0.7
USDCHF,long,2024-07-04 20:00:00,0.8997,2024-07-05 16:00:00,0.89751,364831.02447155584,-798.9799435927165,-0.0024341447149049964,20.0,stop_loss,0.7
GBPUSD,short,2024-07-05 12:00:00,1.27859,2024-07-05 20:00:00,1.28156,515397.29587175575,-1530.7299687391862,-0.00232287128790319,8.0,stop_loss,0.7
USDCHF,long,2024-07-05 16:00:00,0.89751,2024-07-05 20:00:00,0.8956,513799.3359845703,-981.3567317305695,-0.0021281099932035055,4.0,stop_loss,0.7
USDJPY,short,2024-07-05 04:00:00,160.627,2024-07-08 00:00:00,160.637,517362.9244541924,-5173.629244537218,-6.225603416605492e-05,68.0,max_time_24h,0.7
USDCHF,long,2024-07-05 20:00:00,0.8956,2024-07-08 00:00:00,0.89534,508775.1625836308,-132.28154227170685,-0.0002903081732915665,52.0,max_time_24h,0.7
USDJPY,long,2024-07-08 00:00:00,160.637,2024-07-08 12:00:00,161.005,249081.6705050065,91662.05474584115,0.002290879436244421,12.0,scalp_20_pips,0.7
USDCHF,long,2024-07-08 04:00:00,0.89538,2024-07-08 20:00:00,0.8972,249081.6705050065,453.32864031912277,0.002032656525720972,16.0,scalp_20_pips,0.7
GBPUSD,short,2024-07-08 08:00:00,1.2814,2024-07-09 12:00:00,1.27994,498163.341010013,727.3184778746274,0.001139378804432665,28.0,max_time_24h,0.7
USDJPY,short,2024-07-08 12:00:00,161.005,2024-07-09 16:00:00,161.389,681487.4505016953,-261691.1809926609,-0.0023850190987858423,28.0,max_time_24h,0.7
USDCHF,long,2024-07-09 00:00:00,0.8975,2024-07-10 04:00:00,0.8972,682394.1077823335,-204.7182323346775,-0.0003342618384400746,28.0,max_time_24h,0.7
GBPUSD,short,2024-07-09 16:00:00,1.2785,2024-07-10 16:00:00,1.28412,160466.38275276095,-901.8210710705099,-0.004395776300351943,24.0,stop_loss,0.7
USDJPY,short,2024-07-09 20:00:00,161.279,2024-07-10 16:00:00,161.734,160466.38275276095,-73012.20415250825,-0.0028211980481030545,20.0,stop_loss,0.7
USDCHF,long,2024-07-10 04:00:00,0.8972,2024-07-10 16:00:00,0.89911,80028.4731440458,152.85438370512486,0.002128845296477895,12.0,scalp_20_pips,0.7
GBPUSD,short,2024-07-10 16:00:00,1.28412,2024-07-11 08:00:00,1.28689,12534.60460834432,-34.72085476511579,-0.0021571192723422745,16.0,stop_loss,0.7
USDJPY,short,2024-07-10 20:00:00,161.732,2024-07-11 16:00:00,158.574,6267.30230417216,19792.1406765756,0.019526129646575737,20.0,scalp_20_pips,0.7
USDCHF,long,2024-07-11 04:00:00,0.8988,2024-07-11 16:00:00,0.89389,12534.60460834432,-61.544908626971626,-0.005462839341344104,12.0,stop_loss,0.7
GBPUSD,short,2024-07-11 08:00:00,1.28689,2024-07-11 16:00:00,1.29153,12465.162898814087,-57.83835585049709,-0.0036055917755208116,8.0,stop_loss,0.7
USDCHF,long,2024-07-11 16:00:00,0.89389,2024-07-11 20:00:00,0.89653,25905.338861505174,68.39009459437591,0.002953383525937293,4.0,scalp_20_pips,0.7
USDJPY,short,2024-07-12 00:00:00,158.498,2024-07-12 04:00:00,159.202,51947.4579121991,-36571.01037018857,-0.004441696425191534,4.0,stop_loss,0.7
USDCHF,long,2024-07-11 20:00:00,0.89653,2024-07-12 16:00:00,0.89416,51947.4579121991,-123.11547525191676,-0.002643525593120246,20.0,stop_loss,0.7
